start_time_s,end_time_s,pitch_midi,velocity,pitch_bend
301.7862498866213,301.8791297052154,61,35,1,1,1,1,1,1,1,1
301.7862498866213,301.94878956916097,58,40,1,1,1,1,1,1,1,1,1,1,1,1,1,1
301.7862498866213,302.20549297052156,53,53,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
301.7862498866213,302.0545632653061,49,33,1,1,1,1,1,1,1,1,-8,-8,-8,-8,-8,-8,-8,-8,-8,1,1,1,1,1,1,1
301.7862498866213,302.8208217687075,46,80,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
301.7862498866213,302.44930249433105,39,45,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
299.509410430839,300.845841723356,58,86,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
299.509410430839,300.95033151927436,53,48,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
299.509410430839,301.7862498866213,46,82,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
299.509410430839,300.72974195011335,39,57,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
299.49780045351474,299.7067800453515,49,43,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
297.9872195011338,298.185873015873,42,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
297.952389569161,298.139433106576,51,65,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
297.87111972789114,297.9872195011338,54,38,1,1,1,1,0,0,0,1,1,1
297.87111972789114,297.9872195011338,42,76,0,0,0,0,0,0,0,0,0,0
297.8014598639456,297.90594965986395,63,39,0,0,0,0,0,0,1,1,1
297.8014598639456,298.02333333333337,58,34,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
297.8014598639456,297.952389569161,51,78,1,1,1,1,0,1,1,1,1,1,1,1,1
296.5591922902494,296.72173197278914,39,56,1,1,1,1,1,1,1,1,1,1,1,2,2,2
296.4430925170068,297.27901088435374,46,51,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
296.3850426303855,296.5591922902494,39,64,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
296.37343265306123,296.7913918367347,54,60,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1
296.3502126984127,296.48953242630387,51,38,1,1,1,1,1,1,1,1,1,1,1,1
296.30377278911567,296.76817188208616,58,44,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
296.1992829931973,296.3386027210884,53,57,1,1,1,1,1,1,1,1,1,1,1,1
296.1064031746032,296.1992829931973,53,63,1,1,1,1,1,1,1,1
296.09479319727893,296.4430925170068,46,39,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
296.0599632653061,296.18767301587303,60,45,1,1,1,1,1,1,1,1,1,1,1
296.0599632653061,296.2921628117914,56,51,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
295.8961396825397,296.0599632653061,56,51,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
295.87291972789114,296.1064031746032,53,50,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
295.8613097505669,295.954189569161,46,46,1,1,1,1,1,1,1,1
295.83808979591834,296.0599632653061,62,62,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
295.8032598639456,295.8961396825397,56,40,1,1,1,1,1,1,1,1
295.74520997732424,295.8613097505669,46,32,1,1,1,1,1,1,1,1,1,1
295.7103800453515,295.8032598639456,56,31,-1,1,1,1,1,1,1,1
