time_s,f0_hz,midi,voiced,voiced_prob
0.000000,226.343146,57.492097,1,0.010000
0.011610,226.343146,57.492097,1,0.010000
0.023220,226.343146,57.492097,1,0.010000
0.034830,226.343146,57.492097,1,0.010000
0.046440,226.343146,57.492097,1,0.010001
0.058050,214.877083,56.592097,1,0.010009
0.069660,217.373834,56.792097,1,0.010623
0.081270,217.373834,56.792097,1,0.010038
0.092880,217.373834,56.792097,1,0.010038
0.104490,216.121853,56.692097,1,0.010074
0.116100,246.828951,58.992097,1,0.010000
0.127710,283.532010,61.392097,1,0.010001
0.139320,281.898986,61.292097,1,0.010038
0.150930,275.460405,60.892097,1,0.010053
0.162540,278.661100,61.092097,1,0.010009
0.174150,280.275368,61.192097,1,0.010013
0.185760,280.275368,61.192097,1,0.010027
0.197370,280.275368,61.192097,1,0.010038
0.208980,281.898986,61.292097,1,0.010019
0.220590,281.898986,61.292097,1,0.010006
0.232200,281.898986,61.292097,1,0.010000
0.243810,281.898986,61.292097,1,0.010003
0.255420,281.898986,61.292097,1,0.010019
0.267029,281.898986,61.292097,1,0.010009
0.278639,283.532010,61.392097,1,0.010038
0.290249,285.174495,61.492097,1,0.010001
0.301859,278.661100,61.092097,1,0.010002
0.313469,280.275368,61.192097,1,0.010003
0.325079,281.898986,61.292097,1,0.010004
0.336689,280.275368,61.192097,1,0.010009
0.348299,280.275368,61.192097,1,0.010004
0.359909,,,0,0.010003
0.371519,,,0,0.010001
0.383129,,,0,0.010002
0.394739,,,0,0.010001
0.406349,,,0,0.010000
0.417959,,,0,0.010000
0.429569,,,0,0.010000
0.441179,,,0,0.010000
0.452789,,,0,0.010000
0.464399,,,0,0.010000
0.476009,,,0,0.010000
0.487619,,,0,0.010000
0.499229,,,0,0.010000
0.510839,,,0,0.010000
0.522449,,,0,0.010000
0.534059,,,0,0.010000
0.545669,,,0,0.010000
0.557279,,,0,0.010000
0.568889,,,0,0.010000
0.580499,,,0,0.010000
0.592109,,,0,0.010000
0.603719,,,0,0.010000
0.615329,,,0,0.010000
0.626939,,,0,0.010000
0.638549,,,0,0.010000
0.650159,,,0,0.010000
0.661769,,,0,0.010000
0.673379,,,0,0.010000
0.684989,302.131853,62.492097,1,0.010074
0.696599,302.131853,62.492097,1,0.020318
0.708209,305.642456,62.692097,1,0.206507
0.719819,309.193850,62.892097,1,0.323336
0.731429,310.984992,62.992097,1,0.484987
0.743039,310.984992,62.992097,1,0.615950
0.754649,310.984992,62.992097,1,0.757160
0.766259,310.984992,62.992097,1,0.757160
0.777868,310.984992,62.992097,1,0.891144
0.789478,312.786509,63.092097,1,0.891144
0.801088,312.786509,63.092097,1,0.757160
0.812698,314.598463,63.192097,1,0.548525
0.824308,318.253921,63.392097,1,0.240754
0.835918,323.816902,63.692097,1,0.108580
0.847528,331.385763,64.092097,1,0.056071
0.859138,339.131538,64.492097,1,0.066082
0.870748,345.059453,64.792097,1,0.150465
0.882358,347.058362,64.892097,1,0.240754
0.893968,349.068851,64.992097,1,0.484987
0.905578,349.068851,64.992097,1,0.686083
0.917188,349.068851,64.992097,1,0.826669
0.928798,351.090986,65.092097,1,0.826669
0.940408,351.090986,65.092097,1,0.826669
0.952018,351.090986,65.092097,1,0.826669
0.963628,349.068851,64.992097,1,0.826669
0.975238,349.068851,64.992097,1,0.891144
0.986848,349.068851,64.992097,1,0.826669
0.998458,349.068851,64.992097,1,0.757160
1.010068,349.068851,64.992097,1,0.686083
1.021678,347.058362,64.892097,1,0.548525
1.033288,341.096107,64.592097,1,0.426062
1.044898,333.305461,64.192097,1,0.548525
1.056508,325.692754,63.792097,1,0.757160
1.068118,320.097547,63.492097,1,0.826669
1.079728,318.253921,63.392097,1,0.891144
1.091338,316.420914,63.292097,1,0.891144
1.102948,314.598463,63.192097,1,0.945930
1.114558,314.598463,63.192097,1,0.891144
1.126168,314.598463,63.192097,1,0.891144
1.137778,314.598463,63.192097,1,0.891144
1.149388,314.598463,63.192097,1,0.945930
1.160998,314.598463,63.192097,1,0.945930
1.172608,314.598463,63.192097,1,0.945930
1.184218,314.598463,63.192097,1,0.945930
1.195828,314.598463,63.192097,1,0.945930
1.207438,314.598463,63.192097,1,0.891144
1.219048,314.598463,63.192097,1,0.686083
1.230658,321.951854,63.592097,1,0.323336
1.242268,331.385763,64.092097,1,0.150465
1.253878,339.131538,64.492097,1,0.108580
1.265488,345.059453,64.792097,1,0.150465
1.277098,347.058362,64.892097,1,0.279605
1.288707,349.068851,64.992097,1,0.548525
1.300317,349.068851,64.992097,1,0.686083
1.311927,349.068851,64.992097,1,0.826669
1.323537,349.068851,64.992097,1,0.757160
1.335147,349.068851,64.992097,1,0.615950
1.346757,347.058362,64.892097,1,0.426062
1.358367,345.059453,64.792097,1,0.484987
1.369977,341.096107,64.592097,1,0.484987
1.381587,341.096107,64.592097,1,0.484987
1.393197,343.072057,64.692097,1,0.240754
1.404807,349.068851,64.992097,1,0.077975
1.416417,353.124835,65.192097,1,0.077975
1.428027,355.170467,65.292097,1,0.150465
1.439637,357.227948,65.392097,1,0.323336
1.451247,357.227948,65.392097,1,0.484987
1.462857,357.227948,65.392097,1,0.484987
1.474467,357.227948,65.392097,1,0.426062
1.486077,355.170467,65.292097,1,0.323336
1.497687,351.090986,65.092097,1,0.426062
1.509297,349.068851,64.992097,1,0.548525
1.520907,347.058362,64.892097,1,0.686083
1.532517,347.058362,64.892097,1,0.757160
1.544127,347.058362,64.892097,1,0.757160
1.555737,347.058362,64.892097,1,0.757160
1.567347,347.058362,64.892097,1,0.757160
1.578957,347.058362,64.892097,1,0.686083
1.590567,347.058362,64.892097,1,0.615950
1.602177,345.059453,64.792097,1,0.548525
1.613787,339.131538,64.492097,1,0.548525
1.625397,333.305461,64.192097,1,0.615950
1.637007,325.692754,63.792097,1,0.757160
1.648617,321.951854,63.592097,1,0.891144
1.660227,320.097547,63.492097,1,0.945930
1.671837,318.253921,63.392097,1,0.945930
1.683447,316.420914,63.292097,1,0.945930
1.695057,316.420914,63.292097,1,0.984879
1.706667,318.253921,63.392097,1,0.945930
1.718277,320.097547,63.492097,1,0.826669
1.729887,323.816902,63.692097,1,0.615950
1.741497,329.477122,63.992097,1,0.426062
1.753107,341.096107,64.592097,1,0.323336
1.764717,349.068851,64.992097,1,0.372136
1.776327,351.090986,65.092097,1,0.484987
1.787937,351.090986,65.092097,1,0.615950
1.799546,353.124835,65.192097,1,0.686083
1.811156,353.124835,65.192097,1,0.757160
1.822766,353.124835,65.192097,1,0.826669
1.834376,353.124835,65.192097,1,0.826669
1.845986,351.090986,65.092097,1,0.826669
1.857596,351.090986,65.092097,1,0.826669
1.869206,349.068851,64.992097,1,0.757160
1.880816,347.058362,64.892097,1,0.615950
1.892426,343.072057,64.692097,1,0.484987
1.904036,339.131538,64.492097,1,0.484987
1.915646,335.236280,64.292097,1,0.484987
1.927256,331.385763,64.092097,1,0.615950
1.938866,329.477122,63.992097,1,0.757160
1.950476,327.579473,63.892097,1,0.615950
1.962086,325.692754,63.792097,1,0.279605
1.973696,323.816902,63.692097,1,0.066082
1.985306,320.097547,63.492097,1,0.018187
1.996916,318.253921,63.392097,1,0.010074
2.008526,316.420914,63.292097,1,0.010000
2.020136,314.598463,63.192097,1,0.010000
2.031746,,,0,0.010000
2.043356,,,0,0.010000
2.054966,361.378737,65.592097,1,0.010000
2.066576,361.378737,65.592097,1,0.010027
2.078186,359.297349,65.492097,1,0.011422
2.089796,355.170467,65.292097,1,0.056071
2.101406,353.124835,65.192097,1,0.240754
2.113016,353.124835,65.192097,1,0.615950
2.124626,353.124835,65.192097,1,0.826669
2.136236,353.124835,65.192097,1,0.891144
2.147846,353.124835,65.192097,1,0.891144
2.159456,353.124835,65.192097,1,0.891144
2.171066,353.124835,65.192097,1,0.945930
2.182676,351.090986,65.092097,1,0.945930
2.194286,349.068851,64.992097,1,0.891144
2.205896,349.068851,64.992097,1,0.826669
2.217506,347.058362,64.892097,1,0.757160
2.229116,345.059453,64.792097,1,0.484987
2.240726,341.096107,64.592097,1,0.240754
2.252336,335.236280,64.292097,1,0.127937
2.263946,327.579473,63.892097,1,0.127937
2.275556,321.951854,63.592097,1,0.206507
2.287166,316.420914,63.292097,1,0.426062
2.298776,316.420914,63.292097,1,0.615950
2.310385,316.420914,63.292097,1,0.686083
2.321995,314.598463,63.192097,1,0.891144
2.333605,312.786509,63.092097,1,0.891144
2.345215,312.786509,63.092097,1,0.891144
2.356825,314.598463,63.192097,1,0.826669
2.368435,316.420914,63.292097,1,0.615950
2.380045,325.692754,63.792097,1,0.240754
2.391655,341.096107,64.592097,1,0.150465
2.403265,351.090986,65.092097,1,0.240754
2.414875,355.170467,65.292097,1,0.426062
2.426485,355.170467,65.292097,1,0.548525
2.438095,355.170467,65.292097,1,0.686083
2.449705,355.170467,65.292097,1,0.686083
2.461315,355.170467,65.292097,1,0.615950
2.472925,353.124835,65.192097,1,0.548525
2.484535,353.124835,65.192097,1,0.615950
2.496145,351.090986,65.092097,1,0.615950
2.507755,353.124835,65.192097,1,0.548525
2.519365,353.124835,65.192097,1,0.426062
2.530975,357.227948,65.392097,1,0.426062
2.542585,357.227948,65.392097,1,0.484987
2.554195,357.227948,65.392097,1,0.484987
2.565805,357.227948,65.392097,1,0.426062
2.577415,357.227948,65.392097,1,0.323336
2.589025,355.170467,65.292097,1,0.323336
2.600635,353.124835,65.192097,1,0.372136
2.612245,351.090986,65.092097,1,0.548525
2.623855,349.068851,64.992097,1,0.686083
2.635465,347.058362,64.892097,1,0.757160
2.647075,347.058362,64.892097,1,0.757160
2.658685,347.058362,64.892097,1,0.686083
2.670295,347.058362,64.892097,1,0.426062
2.681905,347.058362,64.892097,1,0.206507
2.693515,345.059453,64.792097,1,0.108580
2.705125,341.096107,64.592097,1,0.040697
2.716735,329.477122,63.992097,1,0.056071
2.728345,325.692754,63.792097,1,0.150465
2.739955,327.579473,63.892097,1,0.176531
2.751565,331.385763,64.092097,1,0.206507
2.763175,335.236280,64.292097,1,0.206507
2.774785,337.178284,64.392097,1,0.176531
2.786395,341.096107,64.592097,1,0.176531
2.798005,343.072057,64.692097,1,0.206507
2.809615,345.059453,64.792097,1,0.372136
2.821224,347.058362,64.892097,1,0.615950
2.832834,349.068851,64.992097,1,0.891144
2.844444,349.068851,64.992097,1,0.945930
2.856054,349.068851,64.992097,1,0.945930
2.867664,349.068851,64.992097,1,0.891144
2.879274,347.058362,64.892097,1,0.826669
2.890884,345.059453,64.792097,1,0.826669
2.902494,345.059453,64.792097,1,0.548525
2.914104,341.096107,64.592097,1,0.279605
2.925714,335.236280,64.292097,1,0.176531
2.937324,331.385763,64.092097,1,0.150465
2.948934,325.692754,63.792097,1,0.240754
2.960544,321.951854,63.592097,1,0.426062
2.972154,320.097547,63.492097,1,0.615950
2.983764,320.097547,63.492097,1,0.615950
2.995374,320.097547,63.492097,1,0.757160
3.006984,316.420914,63.292097,1,0.826669
3.018594,314.598463,63.192097,1,0.826669
3.030204,314.598463,63.192097,1,0.548525
3.041814,310.984992,62.992097,1,0.108580
3.053424,309.193850,62.892097,1,0.010038
3.065034,309.193850,62.892097,1,0.010000
3.076644,277.056130,60.992097,1,0.010623
3.088254,277.056130,60.992097,1,0.034897
3.099864,277.056130,60.992097,1,0.092038
3.111474,277.056130,60.992097,1,0.176531
3.123084,277.056130,60.992097,1,0.372136
3.134694,278.661100,61.092097,1,0.484987
3.146304,278.661100,61.092097,1,0.686083
3.157914,278.661100,61.092097,1,0.757160
3.169524,278.661100,61.092097,1,0.757160
3.181134,280.275368,61.192097,1,0.826669
3.192744,280.275368,61.192097,1,0.826669
3.204354,281.898986,61.292097,1,0.826669
3.215964,281.898986,61.292097,1,0.826669
3.227574,281.898986,61.292097,1,0.826669
3.239184,285.174495,61.492097,1,0.426062
3.250794,290.159257,61.792097,1,0.240754
3.262404,298.661572,62.292097,1,0.240754
3.274014,303.882085,62.592097,1,0.372136
3.285624,307.413024,62.792097,1,0.548525
3.297234,309.193850,62.892097,1,0.757160
3.308844,310.984992,62.992097,1,0.891144
3.320454,310.984992,62.992097,1,0.945930
3.332063,310.984992,62.992097,1,0.945930
3.343673,310.984992,62.992097,1,0.945930
3.355283,310.984992,62.992097,1,0.945930
3.366893,310.984992,62.992097,1,0.945930
3.378503,312.786509,63.092097,1,0.891144
3.390113,312.786509,63.092097,1,0.891144
3.401723,312.786509,63.092097,1,0.891144
3.413333,312.786509,63.092097,1,0.891144
3.424943,312.786509,63.092097,1,0.826669
3.436553,312.786509,63.092097,1,0.826669
3.448163,312.786509,63.092097,1,0.826669
3.459773,314.598463,63.192097,1,0.757160
3.471383,316.420914,63.292097,1,0.484987
3.482993,318.253921,63.392097,1,0.176531
3.494603,323.816902,63.692097,1,0.066082
3.506213,331.385763,64.092097,1,0.040697
3.517823,337.178284,64.392097,1,0.056071
3.529433,343.072057,64.692097,1,0.127937
3.541043,345.059453,64.792097,1,0.323336
3.552653,347.058362,64.892097,1,0.686083
3.564263,349.068851,64.992097,1,0.891144
3.575873,351.090986,65.092097,1,0.945930
3.587483,351.090986,65.092097,1,0.891144
3.599093,351.090986,65.092097,1,0.891144
3.610703,351.090986,65.092097,1,0.826669
3.622313,347.058362,64.892097,1,0.372136
3.633923,343.072057,64.692097,1,0.127937
3.645533,327.579473,63.892097,1,0.010074
3.657143,288.488063,61.692097,1,0.030107
3.668753,286.826494,61.592097,1,0.108580
3.680363,285.174495,61.492097,1,0.176531
3.691973,285.174495,61.492097,1,0.240754
3.703583,283.532010,61.392097,1,0.279605
3.715193,283.532010,61.392097,1,0.484987
3.726803,281.898986,61.292097,1,0.615950
3.738413,281.898986,61.292097,1,0.757160
3.750023,280.275368,61.192097,1,0.757160
3.761633,278.661100,61.092097,1,0.826669
3.773243,278.661100,61.092097,1,0.826669
3.784853,278.661100,61.092097,1,0.826669
3.796463,278.661100,61.092097,1,0.891144
3.808073,278.661100,61.092097,1,0.826669
3.819683,278.661100,61.092097,1,0.757160
3.831293,280.275368,61.192097,1,0.686083
3.842902,280.275368,61.192097,1,0.686083
3.854512,281.898986,61.292097,1,0.757160
3.866122,281.898986,61.292097,1,0.757160
3.877732,281.898986,61.292097,1,0.686083
3.889342,280.275368,61.192097,1,0.426062
3.900952,278.661100,61.092097,1,0.426062
3.912562,278.661100,61.092097,1,0.372136
3.924172,277.056130,60.992097,1,0.484987
