time_s,f0_hz,midi,voiced,voiced_prob
0.000000,234.325120,58.092097,1,0.176531
0.011610,232.975507,57.992097,1,0.372136
0.023220,232.975507,57.992097,1,0.548525
0.034830,232.975507,57.992097,1,0.615950
0.046440,232.975507,57.992097,1,0.615950
0.058050,232.975507,57.992097,1,0.757160
0.069660,232.975507,57.992097,1,0.826669
0.081270,232.975507,57.992097,1,0.826669
0.092880,232.975507,57.992097,1,0.891144
0.104490,232.975507,57.992097,1,0.891144
0.116100,232.975507,57.992097,1,0.891144
0.127710,232.975507,57.992097,1,0.891144
0.139320,232.975507,57.992097,1,0.891144
0.150930,232.975507,57.992097,1,0.891144
0.162540,232.975507,57.992097,1,0.891144
0.174150,232.975507,57.992097,1,0.891144
0.185760,232.975507,57.992097,1,0.891144
0.197370,232.975507,57.992097,1,0.945930
0.208980,232.975507,57.992097,1,0.945930
0.220590,232.975507,57.992097,1,0.945930
0.232200,232.975507,57.992097,1,0.945930
0.243810,232.975507,57.992097,1,0.945930
0.255420,232.975507,57.992097,1,0.945930
0.267029,232.975507,57.992097,1,0.945930
0.278639,232.975507,57.992097,1,0.945930
0.290249,232.975507,57.992097,1,0.945930
0.301859,232.975507,57.992097,1,0.945930
0.313469,232.975507,57.992097,1,0.945930
0.325079,231.633667,57.892097,1,0.945930
0.336689,231.633667,57.892097,1,0.984879
0.348299,232.975507,57.992097,1,0.984879
0.359909,232.975507,57.992097,1,0.984879
0.371519,232.975507,57.992097,1,0.891144
0.383129,232.975507,57.992097,1,0.686083
0.394739,232.975507,57.992097,1,0.426062
0.406349,234.325120,58.092097,1,0.127937
0.417959,234.325120,58.092097,1,0.030107
0.429569,234.325120,58.092097,1,0.026168
0.441179,234.325120,58.092097,1,0.066082
0.452789,234.325120,58.092097,1,0.176531
0.464399,234.325120,58.092097,1,0.323336
0.476009,232.975507,57.992097,1,0.615950
0.487619,232.975507,57.992097,1,0.826669
0.499229,232.975507,57.992097,1,0.945930
0.510839,232.975507,57.992097,1,0.945930
0.522449,232.975507,57.992097,1,0.945930
0.534059,232.975507,57.992097,1,0.945930
0.545669,232.975507,57.992097,1,0.984879
0.557279,232.975507,57.992097,1,0.945930
0.568889,232.975507,57.992097,1,0.945930
0.580499,232.975507,57.992097,1,0.945930
0.592109,232.975507,57.992097,1,0.945930
0.603719,232.975507,57.992097,1,0.945930
0.615329,234.325120,58.092097,1,0.826669
0.626939,234.325120,58.092097,1,0.826669
0.638549,234.325120,58.092097,1,0.891144
0.650159,234.325120,58.092097,1,0.891144
0.661769,234.325120,58.092097,1,0.891144
0.673379,234.325120,58.092097,1,0.891144
0.684989,234.325120,58.092097,1,0.891144
